old_name,new_name,seq_lengh_AA
RvY_156351_1824,tRv-i1-CAMSAP,824
TRINITY_DN48199_c0_g4_i14_7107,tEt-i1-CAMSAP,101
TRINITY_DN48199_c0_g4_i15_20141,tEt-i2-CAMSAP,122
gb|GFGZ01009497.1|_1220,tMi-i1-CAMSAP,220
DN400_c0_g1_i1_8305,tMp-i1-CAMSAP,298
CL3263.Contig1_Richtersius_1325,tRc-i1-CAMSAP,325
DN14077_c0_g1_i1_8331,tMp-i2-CAMSAP,324
Unigene3727_Richtersius_1552,tRc-i2-CAMSAP,552
TRINITY_DN54066_c0_g3_i3_1539,tEt-i3-CAMSAP,539
DN14082_c0_g1_i1_1536,tMp-i3-CAMSAP,536
TRINITY_DN54066_c0_g3_i1_1612,tEt-i4-CAMSAP,612
CL2002.Contig2_Echiniscoides_1421,tEs-i1-CAMSAP,421
CL2002.Contig1_Echiniscoides_1421,tEs-i2-CAMSAP,421
TRINITY_DN54066_c0_g3_i8_48733,tEt-i5-CAMSAP,686
BV898_06655.p01_1917,tHe-i1-CAMSAP,917
DN14077_c0_g1_i1_1_16613,tMp-i4-CAMSAP,598
CL1717.Contig1_Echiniscoides_15742,tEs-i3-CAMSAP,728
CL1717.Contig2_Echiniscoides_15747,tEs-i4-CAMSAP,733
gb|GFGY01003393.1|_27848,tPr-i1-CAMSAP,822
gb|GFGY01004026.1|_27848,tPr-i2-CAMSAP,822
DN14082_c0_g1_i5_16853,tMp-i5-CAMSAP,838
sp|Q5T5Y3|CAMP1_HUMAN  Calmodulin-regulated spectrin-associated protein 1 OS=Homo sapiens OX=9606 GN=CAMSAP1 PE=1 SV=2,sp|Q5T5Y3|CAMP1_HUMAN,1602
sp|A2AHC3|CAMP1_MOUSE  Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV=1,sp|A2AHC3|CAMP1_MOUSE,1581
sp|U4PAZ9|PTRN1_CAEEL  Patronin (microtubule-binding protein) homolog OS=Caenorhabditis elegans OX=6239 GN=ptrn-1 PE=1 SV=1,sp|U4PAZ9|PTRN1_CAEEL,1112
XP_040541408.1  calmodulin-regulated spectrin-associated protein 1 isoform X3 [Gallus gallus],XP_040541408.1,1612
XP_031746583.1  calmodulin-regulated spectrin-associated protein 1 isoform X1 [Xenopus tropicalis],XP_031746583.1,1590
XP_021331879.1  calmodulin-regulated spectrin-associated protein 1-B isoform X1 [Danio rerio],XP_021331879.1,1569
sp|Q08AD1|CAMP2_HUMAN  Calmodulin-regulated spectrin-associated protein 2 OS=Homo sapiens OX=9606 GN=CAMSAP2 PE=1 SV=3,sp|Q08AD1|CAMP2_HUMAN,1489
sp|Q8C1B1|CAMP2_MOUSE  Calmodulin-regulated spectrin-associated protein 2 OS=Mus musculus OX=10090 GN=Camsap2 PE=1 SV=3,sp|Q8C1B1|CAMP2_MOUSE,1461
"NP_001261053.1  patronin, isoform K [Drosophila melanogaster]",NP_001261053.1,1680
XP_040533305.1  calmodulin-regulated spectrin-associated protein 2 isoform X4 [Gallus gallus],XP_040533305.1,1479
XP_017949122.1  calmodulin-regulated spectrin-associated protein 2 isoform X3 [Xenopus tropicalis],XP_017949122.1,1467
XP_009294535.1  calmodulin-regulated spectrin-associated protein 2 isoform X1 [Danio rerio],XP_009294535.1,1423
sp|Q9P1Y5|CAMP3_HUMAN  Calmodulin-regulated spectrin-associated protein 3 OS=Homo sapiens OX=9606 GN=CAMSAP3 PE=1 SV=2,sp|Q9P1Y5|CAMP3_HUMAN,1249
sp|Q80VC9|CAMP3_MOUSE  Calmodulin-regulated spectrin-associated protein 3 OS=Mus musculus OX=10090 GN=Camsap3 PE=1 SV=1,sp|Q80VC9|CAMP3_MOUSE,1252
XP_031755185.1  calmodulin-regulated spectrin-associated protein 3 isoform X2 [Xenopus tropicalis],XP_031755185.1,1331
XP_021330423.1  calmodulin-regulated spectrin-associated protein 3 isoform X3 [Danio rerio],XP_021330423.1,1430
