seq_lengh_AA,new_name,old_name
824,tRv-i1-CAMSAP,RvY_156351_1824
101,tEt-i1-CAMSAP,TRINITY_DN48199_c0_g4_i14_7107
122,tEt-i2-CAMSAP,TRINITY_DN48199_c0_g4_i15_20141
220,tMi-i1-CAMSAP,gb|GFGZ01009497.1|_1220
298,tMp-i1-CAMSAP,DN400_c0_g1_i1_8305
325,tRc-i1-CAMSAP,CL3263.Contig1_Richtersius_1325
324,tMp-i2-CAMSAP,DN14077_c0_g1_i1_8331
552,tRc-i2-CAMSAP,Unigene3727_Richtersius_1552
539,tEt-i3-CAMSAP,TRINITY_DN54066_c0_g3_i3_1539
536,tMp-i3-CAMSAP,DN14082_c0_g1_i1_1536
612,tEt-i4-CAMSAP,TRINITY_DN54066_c0_g3_i1_1612
421,tEs-i1-CAMSAP,CL2002.Contig2_Echiniscoides_1421
421,tEs-i2-CAMSAP,CL2002.Contig1_Echiniscoides_1421
686,tEt-i5-CAMSAP,TRINITY_DN54066_c0_g3_i8_48733
917,tHe-i1-CAMSAP,BV898_06655.p01_1917
598,tMp-i4-CAMSAP,DN14077_c0_g1_i1_1_16613
728,tEs-i3-CAMSAP,CL1717.Contig1_Echiniscoides_15742
733,tEs-i4-CAMSAP,CL1717.Contig2_Echiniscoides_15747
822,tPr-i1-CAMSAP,gb|GFGY01003393.1|_27848
822,tPr-i2-CAMSAP,gb|GFGY01004026.1|_27848
838,tMp-i5-CAMSAP,DN14082_c0_g1_i5_16853
1602,sp|Q5T5Y3|CAMP1_HUMAN,sp|Q5T5Y3|CAMP1_HUMAN  Calmodulin-regulated spectrin-associated protein 1 OS=Homo sapiens OX=9606 GN=CAMSAP1 PE=1 SV=2
1581,sp|A2AHC3|CAMP1_MOUSE,sp|A2AHC3|CAMP1_MOUSE  Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV=1
1112,sp|U4PAZ9|PTRN1_CAEEL,sp|U4PAZ9|PTRN1_CAEEL  Patronin (microtubule-binding protein) homolog OS=Caenorhabditis elegans OX=6239 GN=ptrn-1 PE=1 SV=1
1612,XP_040541408.1,XP_040541408.1  calmodulin-regulated spectrin-associated protein 1 isoform X3 [Gallus gallus]
1590,XP_031746583.1,XP_031746583.1  calmodulin-regulated spectrin-associated protein 1 isoform X1 [Xenopus tropicalis]
1569,XP_021331879.1,XP_021331879.1  calmodulin-regulated spectrin-associated protein 1-B isoform X1 [Danio rerio]
1489,sp|Q08AD1|CAMP2_HUMAN,sp|Q08AD1|CAMP2_HUMAN  Calmodulin-regulated spectrin-associated protein 2 OS=Homo sapiens OX=9606 GN=CAMSAP2 PE=1 SV=3
1461,sp|Q8C1B1|CAMP2_MOUSE,sp|Q8C1B1|CAMP2_MOUSE  Calmodulin-regulated spectrin-associated protein 2 OS=Mus musculus OX=10090 GN=Camsap2 PE=1 SV=3
1680,NP_001261053.1,"NP_001261053.1  patronin, isoform K [Drosophila melanogaster]"
1479,XP_040533305.1,XP_040533305.1  calmodulin-regulated spectrin-associated protein 2 isoform X4 [Gallus gallus]
1467,XP_017949122.1,XP_017949122.1  calmodulin-regulated spectrin-associated protein 2 isoform X3 [Xenopus tropicalis]
1423,XP_009294535.1,XP_009294535.1  calmodulin-regulated spectrin-associated protein 2 isoform X1 [Danio rerio]
1249,sp|Q9P1Y5|CAMP3_HUMAN,sp|Q9P1Y5|CAMP3_HUMAN  Calmodulin-regulated spectrin-associated protein 3 OS=Homo sapiens OX=9606 GN=CAMSAP3 PE=1 SV=2
1252,sp|Q80VC9|CAMP3_MOUSE,sp|Q80VC9|CAMP3_MOUSE  Calmodulin-regulated spectrin-associated protein 3 OS=Mus musculus OX=10090 GN=Camsap3 PE=1 SV=1
1331,XP_031755185.1,XP_031755185.1  calmodulin-regulated spectrin-associated protein 3 isoform X2 [Xenopus tropicalis]
1430,XP_021330423.1,XP_021330423.1  calmodulin-regulated spectrin-associated protein 3 isoform X3 [Danio rerio]
