old_name,new_name,seq_lengh_AA
gb|GFGY01000661.1|_21692,tPr-i1-KIFC1,672
gb|GFGZ01037250.1|_2_124,tMi-i1-KIFC1,24
Unigene28515_Richtersius_164,tRc-i1-KIFC1,64
TRINITY_DN32942_c0_g1_i1_167,tEt-i1-KIFC1,67
TRINITY_DN72425_c0_g1_i1_175,tEt-i2-KIFC1,75
gb|GFGY01000733.1|_1_21199,tPr-i2-KIFC1,179
TRINITY_DN70469_c0_g1_i1_189,tEt-i3-KIFC1,89
TRINITY_DN41721_c0_g2_i1_972,tEt-i4-KIFC1,64
Unigene18539_Echiniscoides_170,tEs-i1-KIFC1,70
TRINITY_DN22711_c0_g1_i1_188,tEt-i5-KIFC1,88
gb|GFGZ01037250.1|_169,tMi-i2-KIFC1,69
gb|GFGY01000733.1|_1540,tPr-i3-KIFC1,540
TRINITY_DN40325_c0_g4_i1_177,tEt-i6-KIFC1,77
TRINITY_DN22107_c0_g1_i1_180,tEt-i7-KIFC1,80
TRINITY_DN22107_c0_g3_i1_180,tEt-i8-KIFC1,80
TRINITY_DN21245_c0_g2_i1_197,tEt-i9-KIFC1,97
TRINITY_DN20355_c0_g1_i1_175,tEt-i10-KIFC1,75
gb|GFGZ01030542.1|_1114,tMi-i3-KIFC1,114
gb|GFGZ01037250.1|_1_183,tMi-i4-KIFC1,83
gb|GFGZ01001832.1|_6109,tMi-i5-KIFC1,104
gb|GFGZ01003093.1|_1_1102,tMi-i6-KIFC1,102
CL872.Contig1_Richtersius_1116,tRc-i2-KIFC1,116
gb|GFGZ01003093.1|_2_990,tMi-i7-KIFC1,82
TRINITY_DN54828_c0_g1_i7_1182,tEt-i11-KIFC1,182
TRINITY_DN54828_c0_g1_i1_1189,tEt-i12-KIFC1,189
TRINITY_DN48199_c0_g4_i16_5104,tEt-i13-KIFC1,100
gb|GFGZ01011044.1|_1_192,tMi-i8-KIFC1,92
TRINITY_DN50118_c0_g1_i1_4151,tEt-i14-KIFC1,148
TRINITY_DN45756_c0_g1_i3_19228,tEt-i15-KIFC1,210
gb|GFGZ01003094.1|_199,tMi-i9-KIFC1,99
TRINITY_DN61444_c0_g1_i1_1136,tEt-i16-KIFC1,136
TRINITY_DN53810_c0_g1_i1_4123,tEt-i17-KIFC1,120
gb|GFGZ01004643.1|_1128,tMi-i10-KIFC1,128
TRINITY_DN42488_c0_g1_i1_5126,tEt-i18-KIFC1,122
TRINITY_DN16211_c0_g1_i1_1107,tEt-i19-KIFC1,107
TRINITY_DN30314_c0_g1_i1_11140,tEt-i20-KIFC1,130
DN20472_c0_g1_i1_1127,tMp-i1-KIFC1,127
DN19673_c0_g1_i1_1138,tMp-i2-KIFC1,138
Unigene20735_Richtersius_1160,tRc-i3-KIFC1,160
TRINITY_DN53810_c0_g1_i4_1158,tEt-i21-KIFC1,158
TRINITY_DN29526_c0_g1_i2_1125,tEt-i22-KIFC1,125
Unigene13137_Richtersius_1376,tRc-i4-KIFC1,376
TRINITY_DN48199_c0_g4_i10_5139,tEt-i23-KIFC1,135
Unigene15445_Echiniscoides_1136,tEs-i2-KIFC1,136
TRINITY_DN29526_c0_g1_i1_4133,tEt-i24-KIFC1,130
TRINITY_DN42488_c0_g1_i2_1140,tEt-i25-KIFC1,140
gb|GFGZ01032437.1|_51196,tMi-i11-KIFC1,146
Unigene14942_Richtersius_17163,tRc-i5-KIFC1,147
TRINITY_DN48199_c0_g4_i6_1150,tEt-i26-KIFC1,150
TRINITY_DN48199_c0_g4_i5_1150,tEt-i27-KIFC1,150
gb|GFGZ01032205.1|_8160,tMi-i12-KIFC1,153
Unigene6774_Richtersius_1437,tRc-i6-KIFC1,437
TRINITY_DN40325_c0_g3_i2_1148,tEt-i28-KIFC1,148
TRINITY_DN40325_c0_g3_i1_37213,tEt-i29-KIFC1,177
Unigene22300_Richtersius_1153,tRc-i7-KIFC1,153
DN23831_c0_g1_i1_17300,tMp-i3-KIFC1,284
gb|GFGZ01032872.1|_13228,tMi-i13-KIFC1,216
gb|GFGZ01003093.1|_1158,tMi-i14-KIFC1,158
TRINITY_DN53810_c0_g1_i5_1386,tEt-i30-KIFC1,386
TRINITY_DN48199_c0_g4_i7_1165,tEt-i31-KIFC1,165
TRINITY_DN53810_c0_g1_i7_1256,tEt-i32-KIFC1,256
gb|GFGY01001064.1|_1255,tPr-i4-KIFC1,255
TRINITY_DN54828_c0_g1_i6_10237,tEt-i33-KIFC1,228
DN3437_c0_g1_i2_1183,tMp-i4-KIFC1,183
gb|GFGZ01015139.1|_37193,tMi-i15-KIFC1,157
RvY_084041_1222,tRv-i1-KIFC1,222
gb|GFGZ01015133.1|_16296,tMi-i16-KIFC1,281
gb|GFGY01013337.1|_10200,tPr-i5-KIFC1,191
