old_name,new_name,seq_lengh_AA
RvY_111121_11827,tRv-i1-ASPM,1827
TRINITY_DN46711_c0_g1_i1_9167,tEt-i1-ASPM,159
TRINITY_DN46711_c0_g1_i3_1333,tEt-i2-ASPM,333
TRINITY_DN46711_c0_g1_i2_1556,tEt-i3-ASPM,556
Unigene8511_Echiniscoides_74852,tEs-i1-ASPM,779
BV898_00214.p01_11821,tHe-i1-ASPM,1821
Unigene4338_Richtersius_51792,tRc-i1-ASPM,1788
gb|GFGY01000302.1|_71810,tPr-i1-ASPM,1804
TRINITY_DN52993_c0_g2_i6_21431,tEt-i4-ASPM,1430
CL2581.Contig1_Echiniscoides_21768,tEs-i2-ASPM,1767
Unigene11975_Echiniscoides_92010,tEs-i3-ASPM,2002
sp|Q8IZT6|ASPM_HUMAN,sp|Q8IZT6|ASPM_HUMAN,3477
sp|Q8CJ27|ASPM_MOUSE,sp|Q8CJ27|ASPM_MOUSE,3122
sp|Q9VC45|ASP_DROME,sp|Q9VC45|ASP_DROME,1954
NP_492467.1,NP_492467.1,1186
XP_025009015.2,XP_025009015.2,3430
XP_005161794.1,XP_005161794.1,3411
