old_name,new_name,seq_lengh_AA
RvY_030131_11296,tRv-i1-MCRS1,1296
TRINITY_DN22752_c0_g1_i1_177   _P_ 6i2sB _P_ 6i2sB,tEt-i1-MCRS1,77
TRINITY_DN42879_c0_g1_i2_1100,tEt-i2-MCRS1,100
TRINITY_DN42879_c0_g1_i3_1132,tEt-i3-MCRS1,132
TRINITY_DN42879_c0_g1_i1_1138,tEt-i4-MCRS1,138
gb|GFGZ01012857.1|_2591,tMi-i1-MCRS1,590
gb|GFGZ01022067.1|_1486,tMi-i2-MCRS1,486
gb|GFGZ01022064.1|_1489,tMi-i3-MCRS1,489
gb|GFGZ01012854.1|_2717,tMi-i4-MCRS1,716
CL3480.Contig1_Echiniscoides_1701,tEs-i1-MCRS1,701
gb|GFGY01008760.1|_1630,tPr-i1-MCRS1,630
RvY_106471_1638,tRv-i2-MCRS1,638
DN11769_c0_g1_i1_9668,tMp-i1-MCRS1,660
DN11039_c0_g1_i1_9668,tMp-i2-MCRS1,660
Unigene5532_Richtersius_2676,tRc-i1-MCRS1,675
DN1786_c0_g1_i1_1854,tMp-i3-MCRS1,854
DN1786_c0_g2_i1_1907,tMp-i4-MCRS1,907
BV898_09484.p01_1711,tHe-i1-MCRS1,711
gb|GFGY01005418.1|_1704,tPr-i2-MCRS1,704
DN2139_c0_g1_i1_13923,tMp-i5-MCRS1,911
BV898_09484.p02_1726,tHe-i2-MCRS1,726
CL3108.Contig1_Richtersius_211182,tRc-i2-MCRS1,1162
DN2139_c0_g1_i2_13998,tMp-i6-MCRS1,986
gb|GFGY01001015.1|_21513,tPr-i3-MCRS1,1512
TRINITY_DN54894_c0_g1_i4_111122,tEt-i5-MCRS1,1112
BV898_01997.p01_11618,tHe-i3-MCRS1,1618
sp|Q96EZ8|MCRS1_HUMAN  Microspherule protein 1 OS=Homo sapiens OX=9606 GN=MCRS1 PE=1 SV=1,sp|Q96EZ8|MCRS1_HUMAN,462
sp|Q99L90|MCRS1_MOUSE  Microspherule protein 1 OS=Mus musculus OX=10090 GN=Mcrs1 PE=1 SV=1,sp|Q99L90|MCRS1_MOUSE,462
NP_647852.1  reduction in Cnn dots 5 [Drosophila melanogaster],NP_647852.1,578
NP_493201.3  FHA domain-containing protein [Caenorhabditis elegans],NP_493201.3,478
XP_040549702.1  microspherule protein 1 isoform X2 [Gallus gallus],XP_040549702.1,513
CAJ83940.1  microspherule protein 1 [Xenopus tropicalis],CAJ83940.1,453
NP_998438.1  microspherule protein 1 [Danio rerio],NP_998438.1,472
